year,fips,prcp,avtemp
2.00E+03,53073,1636.373544,6.241493758
2.00E+03,23003,1038.73613,3.721180811
2.00E+03,27077,710.8005752,3.501072225
2.00E+03,23021,1099.377341,3.827832886
2.00E+03,23025,1107.773855,3.901689929
2.00E+03,27135,748.1539718,3.768658391
2.00E+03,27071,670.2290711,3.519823486
2.00E+03,27137,695.0543176,3.254776766
2.00E+03,27007,685.2569921,3.910521303
2.00E+03,26083,641.5611008,4.798576985
2.00E+03,27031,783.4960403,2.683642504
2.00E+03,27075,718.5118204,3.143343756
2.00E+03,27113,615.2187379,4.229366749
2.00E+03,23007,1258.944051,3.823604982
2.00E+03,27029,713.3542787,4.01470387
2.00E+03,27125,612.104187,4.407302335
2.00E+03,27061,716.7773806,4.053733162
2.00E+03,23017,1220.51673,4.931567597
2.00E+03,33007,1332.189658,3.607037459
2.00E+03,27087,729.3149463,4.511832083
2.00E+03,26061,709.3404652,5.474826495
2.00E+03,27021,722.038368,4.764162825
2.00E+03,27057,750.62582,4.411212358
2.00E+03,23011,1135.409264,6.702766614
2.00E+03,50009,1268.382432,3.988709029
2.00E+03,26131,764.0942074,5.107785765
2.00E+03,26013,822.9787806,4.68092657
2.00E+03,50019,1312.453956,4.656203635
2.00E+03,27005,733.9348772,4.909403442
2.00E+03,26103,755.2883332,4.851683713
2.00E+03,26003,798.9853355,5.574251014
2.00E+03,55007,749.6810987,5.145491172
2.00E+03,27001,671.176069,4.924904417
2.00E+03,50011,1147.606513,6.140268947
2.00E+03,23001,1152.497112,6.665631941
2.00E+03,23015,1141.697468,7.165553192
2.00E+03,50013,954.8668562,7.013103594
2.00E+03,50005,1170.958986,4.353949074
2.00E+03,36019,1013.263812,6.120272498
2.00E+03,26053,801.2468956,4.532110412
2.00E+03,26153,660.2092109,6.031581005
2.00E+03,50015,1307.186131,4.850763232
2.00E+03,55031,698.2039736,5.021617853
2.00E+03,27035,677.8828418,5.08524693
2.00E+03,27017,704.293126,4.862171872
2.00E+03,27159,658.5428027,4.947879596
2.00E+03,36033,1242.343883,4.995156029
2.00E+03,55003,798.2356397,4.696930486
2.00E+03,23023,1131.381337,6.958281496
2.00E+03,27111,680.0783825,5.515028493
2.00E+03,55051,812.3373516,4.530438746
2.00E+03,36089,1160.383652,5.91107891
2.00E+03,50007,1088.561672,6.300871158
2.00E+03,26071,725.9134519,4.102034192
2.00E+03,33003,1272.262235,5.945111809
2.00E+03,33009,1259.062905,4.964253236
2.00E+03,50023,1181.1487,4.949558247
2.00E+03,23005,1173.053674,6.976859715
2.00E+03,26043,765.418854,4.940693713
2.00E+03,26041,729.6848328,5.875446733
2.00E+03,27115,699.3304758,5.321738608
2.00E+03,36031,1271.023446,5.094376189
2.00E+03,55125,780.9465569,4.362241199
2.00E+03,27153,642.4672608,5.868489084
2.00E+03,27097,662.3334979,5.801764381
2.00E+03,50017,1076.845083,4.999815744
2.00E+03,27095,626.8931558,5.345402086
2.00E+03,50001,1143.617463,6.157930984
2.00E+03,26109,743.1804348,5.962316696
2.00E+03,55041,844.9761015,4.612520732
2.00E+03,26047,606.7697505,6.416060671
2.00E+03,26031,597.0179856,6.67166125
2.00E+03,55113,843.5752867,4.987932634
2.00E+03,55129,786.225839,5.842410008
