state,county,cases,year,fips,prcp,avtemp,str_year,size
Alabama,Autauga County,0,2e3,1001,959.2705025,18.10082698,pop2000,43872
Alabama,Baldwin County,1,2e3,1003,1019.428814,19.67102225,pop2000,141358
Alabama,Barbour County,0,2e3,1005,1005.529852,18.07436923,pop2000,29035
Alabama,Bibb County,0,2e3,1007,993.6975255,17.41744628,pop2000,19936
Alabama,Blount County,0,2e3,1009,1178.818613,16.34566137,pop2000,51181
Alabama,Bullock County,0,2e3,1011,1068.464075,17.66637658,pop2000,11604
Alabama,Butler County,0,2e3,1013,1019.141915,18.65225075,pop2000,21313
Alabama,Calhoun County,0,2e3,1015,1004.120486,16.09575405,pop2000,111342
Alabama,Chambers County,0,2e3,1017,1042.992587,16.42727481,pop2000,36593
Alabama,Cherokee County,0,2e3,1019,1146.287442,15.55199855,pop2000,24053
Alabama,Chilton County,0,2e3,1021,1000.814908,17.38835884,pop2000,39781
Alabama,Choctaw County,0,2e3,1023,961.9136522,18.34917671,pop2000,15850
Alabama,Clarke County,0,2e3,1025,932.0647052,18.74676101,pop2000,27833
Alabama,Clay County,0,2e3,1027,1131.40689,15.98528941,pop2000,14264
Alabama,Cleburne County,0,2e3,1029,1074.150341,15.3023202,pop2000,14156
Alabama,Coffee County,0,2e3,1031,980.4404073,18.95800225,pop2000,43540
Alabama,Colbert County,0,2e3,1033,1105.755279,16.21952703,pop2000,55024
Alabama,Conecuh County,0,2e3,1035,1063.018496,18.69811563,pop2000,14040
Alabama,Coosa County,0,2e3,1037,1047.759768,16.93625625,pop2000,11843
Alabama,Covington County,0,2e3,1039,1022.122436,18.86061862,pop2000,37490
Alabama,Crenshaw County,0,2e3,1041,989.5134524,18.46424396,pop2000,13696
Alabama,Cullman County,0,2e3,1043,1273.91901,16.18107281,pop2000,77580
Alabama,Dale County,0,2e3,1045,962.7314305,18.99737088,pop2000,49068
Alabama,Dallas County,0,2e3,1047,957.1300688,18.331038,pop2000,46181
Alabama,DeKalb County,0,2e3,1049,1214.191378,14.67753023,pop2000,64638
Alabama,Elmore County,1,2e3,1051,992.0357497,17.59315951,pop2000,66230
Alabama,Escambia County,0,2e3,1053,1090.291017,19.00813424,pop2000,38402
Alabama,Etowah County,0,2e3,1055,1108.352121,16.11532924,pop2000,103313
Alabama,Fayette County,0,2e3,1057,1104.188005,16.47158608,pop2000,18456
Alabama,Franklin County,0,2e3,1059,1162.861203,16.29403848,pop2000,31208
Alabama,Geneva County,0,2e3,1061,1066.613882,18.8709064,pop2000,25790
Alabama,Greene County,0,2e3,1063,1036.776948,17.76964284,pop2000,9946
Alabama,Hale County,0,2e3,1065,1033.473158,18.0862486,pop2000,18288
Alabama,Henry County,0,2e3,1067,940.9891447,18.79493085,pop2000,16344
Alabama,Houston County,0,2e3,1069,980.0964729,19.45901364,pop2000,88919
Alabama,Jackson County,0,2e3,1071,1380.266948,14.86504675,pop2000,54029
Alabama,Jefferson County,1,2e3,1073,1122.992845,17.13653316,pop2000,662214
Alabama,Lamar County,0,2e3,1075,1044.51084,16.71959735,pop2000,15905
Alabama,Lauderdale County,0,2e3,1077,1106.953725,15.925939,pop2000,87982
Alabama,Lawrence County,0,2e3,1079,1155.534658,16.43308695,pop2000,34856
Alabama,Lee County,0,2e3,1081,1039.26511,17.26819517,pop2000,115511
Alabama,Limestone County,0,2e3,1083,1182.724337,15.94531945,pop2000,65930
Alabama,Lowndes County,0,2e3,1085,967.6132989,18.50157403,pop2000,13487
Alabama,Macon County,0,2e3,1087,1000.652502,17.56185928,pop2000,24075
Alabama,Madison County,0,2e3,1089,1260.095837,15.68525995,pop2000,277868
Alabama,Marengo County,0,2e3,1091,958.1432446,18.25696314,pop2000,22566
